Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més,Any
80556,Castellcir,68,273,51,69,240,51,137,513,102,
250674,Castelldans,57,347,107,59,270,120,116,617,227,
80569,Castelldefels,5689,23075,4254,5299,23040,5647,10988,46115,9901,
80581,Castellet i la Gornal,173,796,211,171,698,243,344,1494,454,
170464,Castellfollit de la Roca,79,304,110,55,277,136,134,581,246,
80608,Castellfollit de Riubregós,5,58,23,6,35,24,11,93,47,
80594,Castellfollit del Boix,39,144,39,33,130,51,72,274,90,
80615,Castellgalí,189,695,178,165,629,206,354,1324,384,
80620,Castellnou de Bages,124,517,91,135,437,93,259,954,184,
250680,Castellnou de Seana,44,223,94,46,175,101,90,398,195,
170470,Castelló d'Empúries,858,3703,947,860,3514,1024,1718,7217,1971,
250693,Castelló de Farfanya,33,186,69,29,141,78,62,327,147,
80636,Castellolí,47,207,48,81,178,58,128,385,106,
170486,Castell-Platja d'Aro,838,3558,961,779,3615,1109,1617,7173,2070,
250707,Castellserà,58,325,123,61,274,162,119,599,285,
80641,Castellterçol,167,822,247,171,728,328,338,1550,575,
430424,Castellvell del Camp,266,966,206,217,1003,199,483,1969,405,
80654,Castellví de la Marca,105,508,158,107,478,179,212,986,337,
80667,Castellví de Rosanes,139,670,122,159,632,162,298,1302,284,
430430,"Catllar, el",395,1577,337,355,1471,316,750,3048,653,
250714,Cava,2,19,8,1,8,9,3,27,17,
171899,"Cellera de Ter, la",152,610,203,140,591,250,292,1201,453,
170499,Celrà,580,1883,259,578,1849,303,1158,3732,562,
80673,Centelles,605,2429,596,572,2355,847,1177,4784,1443,
82687,Cercs,65,379,133,55,316,197,120,695,330,
82665,Cerdanyola del Vallès,4208,18981,4849,3948,19297,6120,8156,38278,10969,
80689,Cervelló,780,3057,692,720,2947,858,1500,6004,1550,
250729,Cervera,804,3199,667,765,2903,842,1569,6102,1509,
250735,Cervià de les Garrigues,26,217,93,31,171,102,57,388,195,
170502,Cervià de Ter,92,311,89,81,312,83,173,623,172,
170519,Cistella,20,85,33,22,90,32,42,175,65,
250740,Ciutadilla,11,65,35,10,56,31,21,121,66,
250753,Clariana de Cardener,10,58,14,10,52,13,20,110,27,
250766,"Cogul, el",6,48,34,4,38,28,10,86,62,
170545,Colera,13,144,66,21,133,71,34,277,137,
250772,Coll de Nargó,35,174,76,30,162,73,65,336,149,
80692,Collbató,450,1579,291,389,1437,320,839,3016,611,
430458,Colldejou,8,66,19,11,51,21,19,117,40,
80706,Collsuspina,28,112,34,34,105,29,62,217,63,
170558,Colomers,9,57,21,10,53,26,19,110,47,
251636,"Coma i la Pedra, la",14,113,30,9,76,23,23,189,53,
251615,Conca de Dalt,22,123,68,25,117,63,47,240,131,
430461,Conesa,6,30,18,1,32,16,7,62,34,
430477,Constantí,643,2297,458,590,2054,498,1233,4351,956,
80713,Copons,25,96,31,31,89,38,56,185,69,
430483,Corbera d'Ebre,72,331,128,49,289,147,121,620,275,
80728,Corbera de Llobregat,1299,5205,945,1203,5008,1162,2502,10213,2107,
